additional_info,amenities,description,highlight_value,hotel_star_rating,image_count,internet,landmark,latitude,longitude,occupancy,property_type,room_price,room_types,service_value
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,,,,28.5668011,77.1896667,2 Adults 2 Kids,Hotel,6000per night incl. tax,Deluxe Double,Not Verified
Response Time:< 6 hours|Acceptance Rate:0 percent,WiFi|Card Payment|Elevator|Parking|AC,"What should you know? Tivoli Habitat Centre is known for its top-notch ambience, beautiful surroundings, and contemporary facilities. This hotel offers spacious rooms with modern facilities for fulfilling both business and leisure needs. In addition, the hotel has a conference hall, banquet halls of varying sizes, gardens, a picture gallery, and cuisine facilities that allow you to host formal and informal events. The hotel also provides ample parking space and outdoor catering services.Why should you stay here? Strategically located, Tivoli Habitat Centre gives you convenient access to the prime locations in Greater Noida.",,,2.0,,,28.472562800000002,77.51754,0 Adult 2 Kids,Hotel,1700per night incl. tax,Single Bedded AC Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,,,,28.526273699999997,77.15177920000001,2 Adults 2 Kids,Apartment,2223per night incl. tax,3BHK,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Card Payment|Elevator|Parking|AC,"What should you know? SK Premium Park Hotel offers with a range of services for business as well as leisure travelers. 57 well-appointed rooms, including suites and premium suites, are fitted with the modern amenities like TV, internet, tea/coffee-maker, mini-bar, electronic safe, and iron and ironing board. The hotel is fitted with central air-conditioning and heating system. The facilities includes free parking, doctor-on-call, and babysitting service. The hotel comprises an in-house, multi-cuisine restaurant named Mosaic, a bar named Big Shot, a state-of-art fitness center, a rooftop swimming pool, a lavish banqueting area, and a hi-tech meeting and conferencing room.Why should you stay here? It offers a luxurious stay with easy access to roads, the railway station, and the airport. Banqueting and conferencing facilities are provided as well.",,,7.0,,,28.6302967,77.1135178,1 Adult 2 Kids,Hotel,3000per night incl. tax,Superior Single Bed,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,,,,2.0,,,28.546133,77.12898249999999,2 Adults 2 Kids,Hotel,1067per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,,,,28.5584488,77.2469635,2 Adults 2 Kids,Hotel,2778per night incl. tax,Super Deluxe Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Parking|AC,"Our Budget hotel offer low cost business hotel rooms in Delhi for budget travel. This budget hotel is located in South Delhi near New Delhi Domestic and International Airport offering leisure to budget travelers. For a memorable and unbeatable luxury hotel experience, VM Residency hotel in New Delhi is the right choice for cheap accommodation travelers.VM Residency Offers Low cost cheap hotel rooms in New Delhi besides state of the art amenities for international visitors like Luxury Ac Rooms, CCTv, Fridge, 24 hrs Room Service, Travel desk and Safe deposit, India Travel Packages etc.",,,15.0,,,28.528516800000002,77.15012359999999,2 Adults 2 Kids,Hotel,2000per night incl. tax,Deluxe A/c Double,Not Verified
Acceptance Rate:100 percent|Response Time:> 24 hours,WiFi|Newspaper|Card Payment|Pickup & Drop|AC,"What should you know? Akola Garh is a village resort and a heritage haveli of Chittorgarh. The property is elegantly designed and the interiors take the visitors back to the royal times of the Indian kings. The rooms of the property are lavishly made and very comfortable. These have been categorised as Standard Rooms, Royal Suites, Royal Swiss Cottages, and Royal Huts. All the rooms are equipped with several amenities such as colour television, telephone, attached bath, and comfortable beds. The hotel also takes good care of its guests by offering several facilities and services to its patrons.Why should you stay here? The location of the hotel makes sightseeing very simple with several tourist attractions nearby such as Sita Mata Sanctuary and Sanwariyaji Temple.",,,6.0,,,24.874830199999998,74.62412259999999,2 Adults 2 Kids,Resort,2223per night incl. tax,Standard A/c Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Swimming Pool|Newspaper|Bar|Card Payment|Pickup & Drop|Gym|Parking|AC,,,,6.0,,,28.525266600000002,77.0981064,2 Adults 2 Kids,Resort,5556per night incl. tax,Deluxe A/C Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,16 kms to New delhi Railway station19 kms to Indira Gandhi International Airport 2 kms to Sarita Vihar Metro Station 17 kms to India Gate 15 kms to Qutub Minar,,,1.0,,,28.527957899999997,77.2897873,2 Adults 0 Kid,House,1067per night incl. tax,Double Non-A/C Rooms,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,,,,28.572589899999997,77.2298203,2 Adults 2 Kids,Apartment,3889per night incl. tax,1BHK,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Free Breakfast|AC,"Its in one of the best location in chittorgarh very close to the fort,Fort view can be seen from the terrace.Well educated Rajasthani Family stays here",,,4.0,,,24.875101100000002,74.6180801,2 Adults 1 Kid,Hotel,945per night incl. tax,Standard Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? This lakeside hotel consists of 16 grand rooms that are elegantly designed for a stress-free holiday. Each room facilitates a safe deposit locker, telephone, internet access, cable television, and a private bathroom. An upscale conference hall is available to conduct business meetings and trainings. A diverse range of massage and treatments are ensured at the spa. The banquet hall can be utilized for private celebrations. For the palate, the hotel houses a coffee shop, a multi-cuisine restaurant, and an exotic bar. Other facilities include a travel desk, security, room service, doctor-on-call, and a front desk.Why should you stay here? Away from the hustle and bustle of the city, this coastal hotel is ideal for a tranquil getaway for couples, families, and business travellers.",,,2.0,,,8.321146,77.07474520000001,2 Adults 2 Kids,Hotel,2334per night incl. tax,Executive AC Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,,,,28.548772800000002,77.23657990000001,2 Adults 2 Kids,Hotel,5760per night incl. tax,Deluxe Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|AC,Apollo Hospital 1 Km Caunaught Place 12 KmJassola Community Center 1 Km Qutub Minar 12 KmFaridabad 3 Kms Lotus Temple 15 KmNoida 3 Kms Parliament 15 KmNehru Place 5 Kms India Gate 12 km,,,,,,28.527957899999997,77.2897873,2 Adults 0 Kid,House,945per night incl. tax,Standard Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,,,,28.572589899999997,77.2298203,4 Adults 2 Kids,Apartment,7223per night incl. tax,2BHK,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|Parking|AC,good property in middle of delhi metro is 5 minutes far from property bus stand n auto stand is 2 minuts walking distance,,,,,,28.5632858,77.19115450000001,2 Adults 0 Kid,Lodge,2667per night incl. tax,Double A/C Rooms,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|AC,15 kms to Indira Gandhi International Airport7 kms to India Gate 2 kms to Lajpat nagar metro station,,,,,,28.5726337,77.2325134,2 Adults 0 Kid,Apartment,10389per night incl. tax,luxury Deluxe room set of 3bhk,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast,500 mtr. from Malviya Nagar metro station.Select City Walk & MGF Mall only 500 mtr. away.Airport only 18 km.Quatab Minar at 3 km distance.,,,,,,28.5335197,77.21088409999999,2 Adults 0 Kid,Hotel,2362per night incl. tax,Standard Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Parking,"What should you know? La Promenade offers well-designed Standard and Executive rooms fully equipped with all contemporary amenities. They are internet access, front desk, parking area, restaurant, airport transportation, and room service. It is around 14 km from Trivandrum International Airport and Thiruvananthapuram Central Railway Station is around 20 km away. Why should you stay here? La Promenade gives you a vantage point while visiting the resort city of Kovalam. It is close to various attractions such as Vellayani Lake and Thiruvallam Parasurama Temple.",,,5.0,,,8.3991489,76.9821854,2 Adults 2 Kids,Hotel,3056per night incl. tax,Standard Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Bar|Card Payment|Elevator|Parking|AC,Lords Inn is designed to meet very high standards for Guest lodging. It is artistically laid out elegantly furnished and stylishly designed. We take the pride to bring this brand of luxury for our esteemed customers. We have developed a concept of luxurious suites with special added comfort & capaciousness that gives true value for your money. It is through our utmost dedication towards offering premium hospitality services to our clients we have emerged as one of the eminent providers of Hotel services. Our professionals help us in offering best in class services to the guests to make them enjoy their holiday or business trip to the fullest.,,,3.0,,,28.542491899999998,77.2426376,1 Adult 1 Kid,Hotel,2556per night incl. tax,Single A/C Rooms,Not Verified
Response Time:< 6 hours|Acceptance Rate:0 percent,Newspaper|AC,,,,7.0,,,28.4841099,77.51619720000001,2 Adults 2 Kids,Hotel,826per night incl. tax,Double Non AC,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|Parking|AC,"What should you know? Hotel Nandan Palace provides basic amenities like wake-up service, daily housekeeping, hair dryers, front desk, free parking, free newspaper, Wi-Fi and interconnecting rooms. Other amenities include acceptance of major credit cards, valet parking, laundry service, well-equipped banquet and conference halls. There is an in-house restaurant here too . The hotel has 30 elegantly furnished rooms categorized as suite, royal room and executive room. The room amenities include newspaper, colour TV, private bathroom, iron, telephone, safe and air conditioning.Why should you stay here? The hotel can be conveniently accessed from the new private bus stand (approx 3 km) and the Chittorgarh railway station (approx 3 km). It nearby several tourist attractions like Gaumukh Reservoir (approx 2 km), Meera Temple (approx 7 km), Padminis Palace (approx 8 km) and Chittorgarh Fort (approx 6 km).",,,5.0,,,24.8739586,74.6225052,1 Adult 2 Kids,Hotel,1867per night incl. tax,Executive A/c Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,1.3 kms to Malviya nagar Metro station 10.5 kms to India Gate 14.7 kms to New delhi railway station 14 kms to Indira gandhi international airport,,,3.0,,,28.5334663,77.219696,1 Adult 0 Kid,Hotel,8500per night incl. tax,standard room on sharing basis,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Card Payment|Elevator|Parking|AC,"What should you know? This comfortable accommodation option is suitable for all types of tourists The rooms of the hotel are well maintained and adequately furnished and have been categorised as Standard, Deluxe, and Suite rooms. Some of the amenities seen in the rooms include a tea/coffee making machine, Wi-Fi access, daily newspaper, colour television, attached bath, and an electronic safe. The hotel also offers several facilities for the convenience of guests, such as a front desk, room service, security, car parking, and daily housekeeping. The property is approximately 10.5 km from the Indira Gandhi International Airport.Why should you stay here? Hotel patrons can visit a number of local attractions in the city, such as Akshardham, Humayun’s Tomb, and Qutub Minar.",,,5.0,,,28.5506859,77.20346070000001,1 Adult 1 Kid,Hotel,2892per night incl. tax,Single A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,18 kms to India Gate 12 kms to New delhi railway station 13 kms to Indira gandhi international airport walkable distance to Green park metro station,,,1.0,,,28.5586796,77.2081833,2 Adults 0 Kid,House,1228per night incl. tax,standard Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|Newspaper|Card Payment|Pickup & Drop|AC,Located near light house beach kovalam,,,17.0,,,8.3846073,76.98011020000001,4 Adults 2 Kids,Resort,3334per night incl. tax,Non A/c Apartment,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Bar|Card Payment|Pickup & Drop|Parking,"What should you know? This is a gold category property that has been certified by Ministry of Tourism of Government of India. It offers en-suite, well-lit-up, and spacious rooms with complimentary breakfast and all the modern amenities that are necessary for a relaxed stay. Some of the facilities that are offered by the hotel are round-the-clock food, parking space, round-the-clock taxi service, 24-hour power backup, and Wi-Fi facility. The property is located at proximity to Sector-18 of Noida, which is one of the most important shopping hubs. It is less than 2 miles from the nearest metro station that allows it to have easy connectivity to Gurgaon and Delhi.Why should you stay here? It is an ideal abode for vacationers, commuters, and visitors. It is centrally located with easy access to NCR.",,,,,,28.5285778,77.28992459999999,2 Adults 2 Kids,Hotel,1667per night incl. tax,Silver Cottage Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,,,,28.5582104,77.2044373,6 Adults 2 Kids,Apartment,10000per night incl. tax,3BHK,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,,,,3.0,,,28.6402359,77.1255341,2 Adults 2 Kids,Hotel,3306per night incl. tax,Deluxe Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|Parking|AC,"What should you know? Hotel Highway Crown offers deluxe and executive rooms with modern amenities like WiFi, air conditioning, laundry service, a doctor on call, and 24 hours concierge services. It is around 20 km from the railway station and just 3 km from the IGI Airport. The hotel is also in close proximity to the local bus stand. An added perk is that the hotel offers railway station and airport transfers. There are also parking facilities for those arriving by car.Why should you stay here?",,,5.0,,,28.5464096,77.1239929,1 Adult 2 Kids,Hotel,1556per night incl. tax,Day Use Room (9 am - 5pm),Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC|WiFi|Free Breakfast|Parking|Bar|Card Payment|Pickup & Drop,"What should you know? The guesthouse is situated in Alpha-1, Greater Noida. It offers facilities like a sitting area with cable television, fully equipped kitchen, refrigerator, and a dining area. The accommodation privileges feature an attached bathroom, air-conditioning, and a wardrobe. Guests staying at this guesthouse can enjoy culinary delights in the in-house dining area that serves home-cooked dishes or may dine at surrounding eateries.Why should you stay here? The property is a suitable accommodation option for guests on official trips, backpackers, college students, and groups of friends.",,,9.0,,,28.465446500000002,77.5093613,2 Adults 2 Kids,House,2173per night incl. tax,EXECUTIVE CLass,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,,,,,,,11.035538699999998,77.03929140000001,1 Adult 2 Kids,Hotel,1050per night incl. tax,1 BHK Fully Furnished,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|AC,Our Mission is to reach the customesrs requirement and provide the best services in hospitality. Our Guest House is established specially to provide the luxury and best quality on affordable prices.,,,,,,28.527957899999997,77.2897873,2 Adults 0 Kid,Hotel,1417per night incl. tax,standard Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Card Payment|Gym,"Hotel Jewel Palace is a 3 star property located located on Bank Street in Karol Bagh in New Delhi. It is located 3 km away from New Delhi Railway, 14.5 km from International Airport and 16.1 km from domestic airport. The hotel offers 58 spacious rooms equipped with modern amenities like air conditioner, color television with cable channels, direct dial telephone, intercom, tea/ coffee maker, mini bar, safety deposit locker, study table, daily newspaper and room heater. DVD player, data port for internet and mineral water are provided on request. The attached wash rooms have a shower area with hot and cold water facilities and bathroom amenities.Prominent tourist attractions of New Delhi are Chandni Chowk (4.1 km), Humayuns Tomb (10.7 km), Akshardham Temple (12.3km), Lotus Temple (17.7 km) and Qutub Minar (18.8 km). The facilities available include internet facility/ cyber cafe, doctor on call, laundry service, travel desk, and parking facility. Outdoor facilities, sightseeing service and guide service is available on request, while airport and railway station transfers are available at an extra charge.The hotel has in-house multi cuisine restaurant specializing in Indian, Chinese and Mughlai cuisines. The restaurant is open round the clock, and if guests are not too inclined on eating in the restaurant, theres a 24 hours room service as well. The hotel boasts of a conference hall and one banquet hall for business and social gatherings respectively. Have a great stay at Hotel Jewel Palace!",,,16.0,,,28.6511784,77.1935349,1 Adult 2 Kids,Hotel,1624per night incl. tax,Day Use Room (6.00AM to 6.00PM),Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,1.0,,,8.4031534,76.9816513,2 Adults 2 Kids,Villa,778per night incl. tax,Double Non-A/C Rooms,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|AC,budget property,,,,,,28.535291700000002,77.25093840000001,2 Adults 0 Kid,Hotel,2362per night incl. tax,standard room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,,,,28.5484657,77.2392883,2 Adults 2 Kids,Hotel,5280per night incl. tax,Deluxe Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Card Payment|AC,"What should you know? Hotel Chetak is located on Nimbahera Road, in Chittorgarh. The nearest airport is in Udaipur, which is approximately 100 km away from the property. The hotel has 23 well-appointed rooms, out of which 10 are air-conditioned and the rest are non-AC. The hotel provides a host of amenities necessary for a comfortable stay such as wired internet access, cable TV connection, air-conditioning, laundry service, airport transfers, 24-hour concierge/help desk, railway station transfer, and valet parking. It has an in-house restaurant that serves Chinese dishes. Guests can also enjoy fast food within the comfort of the hotel.Why should you stay here? It is located just 200m away from the local railway station. The room tariffs are quite pocket-friendly, thus making it an ideal destination for budget-conscious travellers who are visiting Chittorgarh.",,,5.0,,,24.8738575,74.62245940000001,1 Adult 2 Kids,Hotel,519per night incl. tax,Day Used Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Parking,"Lake View Villa is an uniquely constructed strong house surrounded by myriad plant species and coconut trees. Benefits of staying with us are room service, luggage storage, and travel assistance. Our home is neatly maintained with the help of dedicated concierge. Our home features living room, a kitchen and airy sit outs in the balcony. Whenever you choose to be at home, TV and Wi-Fi will provide you entertainment.There is an ample space for parking allotted to you amidst our gardens. Kitchen is filled with essential items plus a microwave. You also have many dining out options due to the availability of many restaurants nearby. Major beaches of Kovalam- the Lighthouse beach, the Samudra beach and the Hawah beach are within a kilometer reach. With aplenty of Palm groves and coconut groves, the Sun and the beach combine to offer a beautiful spectacle in Kovalam.",,,2.0,,,8.4031429,76.9816055,6 Adults 2 Kids,Villa,7500per night incl. tax,Lake View Heritage Villa,Verified
Acceptance Rate:100 percent|Response Time:10 minutes,AC,"What should you know? Hotel Kirti Plaza is a luxury hotel that offers necessary amenities like internet access, television, laundry and dry cleaning service, doctor-on-call, and round-the-clock room service. It also has a conference hall and banquet facilities. The multi-cuisine restaurant offers a variety of dishes. Hotel Kirti Plaza is 350m from the railway station.Why should you stay here? Hotel Kirti Plaza is ideal for tourists and corporate travelers alike. It is located in a prime area, making it convenient for tourists.",,,,,,24.878610600000002,74.6204681,2 Adults 2 Kids,Hotel,889per night incl. tax,Double Bed NAC Cooler Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Parking|AC,"What should you know? Stay Midway Guest House has 21 rooms, all of which are spacious and comfortable. Guests will find several amenities available in each room. Some of the facilities provided by the hotel include Wi-Fi access, room service, and car parking space. Hotel patrons can use the swimming pool to relax and rejuvenate.Why should you stay here? Stay Midway Guest House is a budget hotel that is suitable for backpack travellers and bikers.",,,,,,28.477985399999998,77.51751709999999,2 Adults 2 Kids,House,2223per night incl. tax,Executive Double AC Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,,,,28.5681114,77.18986509999999,1 Adult 2 Kids,Hotel,6000per night incl. tax,Deluxe Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Swimming Pool|Newspaper|Bar|Card Payment|Elevator|Parking|AC,"The all new Country Inn Saket New Delhi hotel boasts outstanding services and a strategic location in the citys stylish shopping and entertainment centre, DLF South Court, Saket. This hotels premier amenities include complimentary high-speed Internet, on-site dining with free breakfast, and on-site conference facilities.the hotel is also convenient to major attractions and business districts. Combining an upscale ambiance with excellent service and location,Country Inn stands among the very best Saket hotels in New Delhi.",,,12.0,,,28.527915999999998,77.2210236,1 Adult 2 Kids,Hotel,4445per night incl. tax,Superior A/c Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|AC,7.5 kms to India Gate 8 kms to Qutub Minar 11 kms to Indira Gandhi International Airport 11.6 kms to New delhi Railway Station,,,,,,28.5555325,77.23373409999999,2 Adults 0 Kid,Hotel,8889per night incl. tax,A/C Suites,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Elevator,,,,5.0,,,28.541559200000002,77.2402725,1 Adult 2 Kids,Hotel,5555per night incl. tax,Deluxe Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"Hotel Aura strive to provide our guests excellent services and superior comfort. Our presence near the airport aids the comfort that we offer, with the convenience to travel across major locations in the Delhi-NCR region. Also, the easy accessibility to National Highway 8 serves as an advantage for you during your stay with us.Our Accommodation options are extensive and make your stay an unforgettable experience. From all our rooms you will enjoy an enchanting view of the highway, along with facilities like; Free Wi-Fi, Complimentary Breakfast, Coffee Maker, and a Flat Screen TV. Our Front Desk & Room Service operates 24 Hours to assist you with your travel arrangements, currency exchange services and laundry service.Hotel Aura is well-suited for business travelers who have appointments in Gurgaon, a major business destination in Delhi-NCR, 19kms (approx.) away from the Hotel.",,,7.0,,,28.5509071,77.1308212,1 Adult 2 Kids,Hotel,1850per night incl. tax,Standard Single AC Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Bar,"What should you know? Hotel Regent Continental is constructed well to meet the needs of customers. All the rooms are air conditioned, provided with facilities like room service, 24-hour hot and cold water, LCD TV, Wi-Fi, mini bar, safe, work desk, laundry, power backup, doctor on call. The hotel has multi cuisine restaurant that provides authentic food. Banquet hall and conference hall is there for business meets and parties. The hotel has a rooftop lounge that can make your stay exciting.Why should you stay here? The reception and service makes the stay comfortable. The location of the hotel makes other places of the city accessible.",,,10.0,,,28.648479499999997,77.1880798,2 Adults 2 Kids,Hotel,3528per night incl. tax,Silver Class,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Free Breakfast,Its a nice home and Sindhi family stays here and anyone for meditation can come here and enjoy the Spiritualism and enjoy the vegetarian food as well owner can provide the car services as well.,,,6.0,,,24.871257800000002,74.6158905,2 Adults 1 Kid,Homestay,662per night incl. tax,Standard Room,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|Bar|Parking,"What should you know? Strategically located in the heart of Chittorgarh, this budget-friendly abode comprises of 12 well-maintained standard rooms having all basic amenities. The rooms are equipped with attached bathrooms having running hot water. Apart from this, the facility offers its guests a parking area, in-room dining, and laundry service. It is around 88 km from Maharana Pratap Bagh Airport and Chittorgarh Railway Station is around 8 km away. A budget hotel that is ideal for people looking for accommodation for a short time while visiting Chittorgarh for business or leisure. Why should you stay here? This pocket-friendly abode offers its guests all the comforts of a home, it is easily accessible by all means of transportation.",,,5.0,,,24.8820953,74.6230698,2 Adults 2 Kids,Hotel,600per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Veg Only|Newspaper|AC,,,,4.0,,,26.397701300000005,75.8833542,2 Adults 2 Kids,Hotel,612per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|Newspaper|Card Payment|Elevator|Parking|AC,"What should you know? Hotel Chirag Residency is a contemporary hotel in New Delhi, providing their guests with an array of amenities. This semi-luxurious hotel provides warm hospitality with conveniences like a doctor-on-call, 24-hour room service, laundry services, and power backup. The nearby attractions include popular tourist places like the Humayuns Tomb, Qutub Minar, Lotus Temple, and Garden of Five Senses.Why should you stay here? The hotel is a convenient accommodation option for business trips and leisure vacations, providing a range of high-end amenities and easy access to nearby attractions.",,,16.0,,,28.5468674,77.24951170000001,1 Adult 2 Kids,Hotel,3855per night incl. tax,Super Deluxe A/c Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Parking,,,,,,,28.548812899999994,77.23781590000002,0 Adult 2 Kids,Hotel,1075per night incl. tax,Deluxe,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,12 kms to new delhi railway station 1.5 kms to Kailash Colony metro Station 18 kms to Indira Gandhi International Airport,,,,,,28.5555325,77.23373409999999,1 Adult 0 Kid,Hotel,1778per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|AC,"What should you know? Hotel Crown Continental provides a peaceful stay to patrons. The hotel offers amenities like cable TV, laundry facility, around-the-clock room facilities, pickup and drop-off facility to the airport, and power backup. They have a multi-cuisine restaurant that serves delicious food. It is approximately 16 km from Indira Gandhi International Airport, 4 km from New Delhi Railway Station, and 8 km from Naraina Vihar Bus Stand. The hotel is close to tourist places like Feroze Shah Kotla Palace, Jantar Mantar, Jama Masjid, and India Gate.Why should you stay here? Hotel Crown Continental is a good choice of stay due to the proximity to shopping areas and main attractions in New Delhi.",,,8.0,,,28.6593304,77.1903915,2 Adults 2 Kids,Hotel,1329per night incl. tax,Luxury Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Swimming Pool|Parking,"What should you know? The hotel provides reasonable accommodations in 1, 2, or 3 bedroom apartments. It offers services like a gym, billiard room, and a swimming pool. Rooms offered reflect modern amenities, comfort, and privacy. The hotel also boasts of fine facilities like attached balconies, en suite bathrooms, well-equipped kitchen, wifi, covered parking, and concierge services. Guests can visit places like The Great India Palace, Worlds Of Wonder, Pragati Maidan, Shri Sai Karuna Dham, War Memorial, and Shaheed Smarak. The property can be conveniently accessed via Phase II Bus Stand, Metro Station, and Indira Gandhi International Airport.Why should you stay here? The propertys rare combination of tradition and expertise makes it an ideal choice of stay among vacationers to the city.",,,,,,28.519178399999998,77.3831635,4 Adults 2 Kids,Apartment,71614per night incl. tax,2 BHK,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,,,,,,,28.5788174,77.21116640000001,2 Adults 2 Kids,Hotel,6720per night incl. tax,Deluxe Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,,4 kms to Sarita Vihar Metro Station27 kms to Indira Gandhi international Airport 18.7 kms to India Gate 21.8 kms to New delhi Railway station,,,1.0,,,28.530881899999997,77.314743,2 Adults 0 Kid,Hotel,1134per night incl. tax,standard Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|Pickup & Drop|Parking|AC,"What should you know? Hotel Indira International Inn is situated in Masoodpur, Vasant Kunj. It offers facilities like airport pickup and drop services, 24-hour cab service, currency exchange facility, internet access, car-rental services, and travel support. This property offers accommodation in 32 rooms that come with amenities like 24-hour room service, air-conditioning, flat-screen television with satellite channels, electronic safe, telephone, laundry, housekeeping, hot and cold water, minibar, and doctor-on-call. For snacks and dining, the hotel houses an in-house, multi-cuisine restaurant where guests can relish variety of cuisines from around the world.Why should you stay here? This hotel is convenient for visitors as it is on the main road. It is 210m from Vasant Kunj Bus Stop, and 6.2 km from Indira Gandhi International Airport.",,,11.0,,,28.5274124,77.15222929999999,2 Adults 2 Kids,Hotel,1956per night incl. tax,Double A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,AC,"What should you know? Situated conveniently on Udaipur Road, this budget accommodation lies in the heart of Chittorgarh. It features well-maintained spacious rooms having all comforts. The in-room amenities include a television, air-conditioning, attached bathrooms, and tea/coffee maker. Apart from this, the hotel is equipped with a Gujarati restaurant, parking area, banquet hall, doctor-on-call, and a front desk. It is around 91 km from Maharana Pratap Airport and Railway Station is merely a kilometre away. It is a budget hotel that comes in handy when travelling with friends or family.Why should you stay here? This facility gives an ideal vantage point to budget-conscious travellers seeking accommodation in Chittorgarh.",,,22.0,,,24.869846300000003,74.6161041,2 Adults 2 Kids,Hotel,1584per night incl. tax,Standard A/c Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? This facility is a pocket-friendly hotel in Noida that offers several facilities for the comfort and convenience of guests. There are 18 rooms in this property that are equipped with basic amenities, such as an air-conditioner, colour television with cable connection, attached bath, internet access, and a tea/coffee making machine. The hotel also takes good care of its patrons by offering facilities like laundry service, in-house discotheque, and valet car parking. There is also a fitness centre for guests to use during their stay. Why should you stay here? Tourists staying at the hotel can visit a number of attractions in the city, such as ISKCON and Worlds of Wonder Water Park.",,,,,,28.5430298,77.3857117,1 Adult 2 Kids,Hotel,1889per night incl. tax,Executive AC Single,Not Verified
